Notified,Source,Destination,Protocol,Length,Info
1,192.168.56.106,192.168.56.101,TCP,58,42752  >  80 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1,192.168.56.101,192.168.56.106,TCP,60,"80  >  42752 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460"
1,192.168.56.106,192.168.56.101,TCP,54,42752  >  80 [RST] Seq=1 Win=0 Len=0
1,192.168.56.106,192.168.56.101,TCP,58,42752  >  3389 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1,192.168.56.101,192.168.56.106,TCP,60,"3389  >  42752 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
1,192.168.56.106,192.168.56.101,TCP,58,42752  >  143 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1,192.168.56.106,192.168.56.101,TCP,58,42752  >  25 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1,192.168.56.101,192.168.56.106,TCP,60,"143  >  42752 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
1,192.168.56.106,192.168.56.101,TCP,58,42752  >  1025 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1,192.168.56.101,192.168.56.106,TCP,60,"25  >  42752 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460"
1,192.168.56.106,192.168.56.101,TCP,54,42752  >  25 [RST] Seq=1 Win=0 Len=0
1,192.168.56.101,192.168.56.106,TCP,60,"1025  >  42752 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
1,192.168.56.106,192.168.56.101,TCP,58,42752  >  23 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1,192.168.56.101,192.168.56.106,TCP,60,"23  >  42752 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460"
1,192.168.56.106,192.168.56.101,TCP,54,42752  >  23 [RST] Seq=1 Win=0 Len=0
1,192.168.56.106,192.168.56.101,TCP,58,42752  >  8080 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1,192.168.56.106,192.168.56.101,TCP,58,42752  >  993 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1,192.168.56.101,192.168.56.106,TCP,60,"8080  >  42752 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
1,192.168.56.101,192.168.56.106,TCP,60,"993  >  42752 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
1,192.168.56.106,192.168.56.101,TCP,58,42752  >  135 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1,192.168.56.106,192.168.56.101,TCP,58,42752  >  5900 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1,192.168.56.101,192.168.56.106,TCP,60,"135  >  42752 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
1,192.168.56.106,192.168.56.101,TCP,58,42752  >  139 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1,192.168.56.101,192.168.56.106,TCP,60,"5900  >  42752 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460"
