"No.","Time","Source","Destination","Protocol","Length","Info"
"160","1157.704166446","192.168.56.106","192.168.56.101","TCP","58","42752  >  514 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"161","1157.704343585","192.168.56.106","192.168.56.101","TCP","58","42752  >  8292 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"162","1157.704506267","192.168.56.101","192.168.56.106","TCP","60","514  >  42752 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460"
"163","1157.704523698","192.168.56.106","192.168.56.101","TCP","54","42752  >  514 [RST] Seq=1 Win=0 Len=0"
"164","1157.704578129","192.168.56.101","192.168.56.106","TCP","60","8292  >  42752 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"165","1157.704705219","192.168.56.106","192.168.56.101","TCP","58","42752  >  32770 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"166","1157.704964836","192.168.56.101","192.168.56.106","TCP","60","32770  >  42752 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"167","1157.705081811","192.168.56.106","192.168.56.101","TCP","58","42752  >  3168 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"168","1157.705281323","192.168.56.106","192.168.56.101","TCP","58","42752  >  12174 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"169","1157.705439654","192.168.56.101","192.168.56.106","TCP","60","3168  >  42752 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"170","1157.705582861","192.168.56.106","192.168.56.101","TCP","58","42752  >  4111 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"171","1157.705745285","192.168.56.101","192.168.56.106","TCP","60","12174  >  42752 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"172","1157.705885053","192.168.56.106","192.168.56.101","TCP","58","42752  >  687 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"173","1157.706063034","192.168.56.101","192.168.56.106","TCP","60","4111  >  42752 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"174","1157.706196860","192.168.56.106","192.168.56.101","TCP","58","42752  >  5915 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"175","1157.706376060","192.168.56.101","192.168.56.106","TCP","60","687  >  42752 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"176","1157.706391045","192.168.56.101","192.168.56.106","TCP","60","5915  >  42752 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"177","1157.706633759","192.168.56.106","192.168.56.101","TCP","58","42752  >  8022 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"178","1157.706735054","192.168.56.106","192.168.56.101","TCP","58","42752  >  1117 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"179","1157.706917780","192.168.56.101","192.168.56.106","TCP","60","8022  >  42752 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"180","1157.706937846","192.168.56.101","192.168.56.106","TCP","60","1117  >  42752 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"181","1157.707056042","192.168.56.106","192.168.56.101","TCP","58","42752  >  32781 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"182","1157.707252685","192.168.56.101","192.168.56.106","TCP","60","32781  >  42752 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"183","1157.707370691","192.168.56.106","192.168.56.101","TCP","58","42752  >  44501 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"184","1157.707600805","192.168.56.106","192.168.56.101","TCP","58","42752  >  50500 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"185","1157.707741386","192.168.56.101","192.168.56.106","TCP","60","44501  >  42752 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"186","1157.707856926","192.168.56.106","192.168.56.101","TCP","58","42752  >  10621 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"187","1157.708010137","192.168.56.101","192.168.56.106","TCP","60","50500  >  42752 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"188","1157.708028574","192.168.56.101","192.168.56.106","TCP","60","10621  >  42752 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"189","1157.708147531","192.168.56.106","192.168.56.101","TCP","58","42752  >  5560 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"190","1157.708342930","192.168.56.101","192.168.56.106","TCP","60","5560  >  42752 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"191","1157.708461258","192.168.56.106","192.168.56.101","TCP","58","42752  >  6646 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"192","1157.708667087","192.168.56.101","192.168.56.106","TCP","60","6646  >  42752 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"193","1157.709218253","192.168.56.106","192.168.56.101","TCP","58","42752  >  1007 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"194","1157.709421338","192.168.56.106","192.168.56.101","TCP","58","42752  >  1062 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"195","1157.709715428","192.168.56.101","192.168.56.106","TCP","60","1007  >  42752 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"196","1157.709727206","192.168.56.101","192.168.56.106","TCP","60","1062  >  42752 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"197","1157.709841003","192.168.56.106","192.168.56.101","TCP","58","42752  >  1088 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"198","1157.710008081","192.168.56.101","192.168.56.106","TCP","60","1088  >  42752 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"199","1157.710127501","192.168.56.106","192.168.56.101","TCP","58","42752  >  9877 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"200","1157.710372547","192.168.56.101","192.168.56.106","TCP","60","9877  >  42752 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"201","1157.710505639","192.168.56.106","192.168.56.101","TCP","58","42752  >  4129 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"202","1157.710742116","192.168.56.101","192.168.56.106","TCP","60","4129  >  42752 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"203","1157.710903666","192.168.56.106","192.168.56.101","TCP","58","42752  >  668 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"204","1157.711122379","192.168.56.101","192.168.56.106","TCP","60","668  >  42752 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"205","1157.711242067","192.168.56.106","192.168.56.101","TCP","58","42752  >  8042 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"206","1157.711443972","192.168.56.101","192.168.56.106","TCP","60","8042  >  42752 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"207","1157.711566229","192.168.56.106","192.168.56.101","TCP","58","42752  >  2800 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"208","1157.711795704","192.168.56.106","192.168.56.101","TCP","58","42752  >  714 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"209","1157.711939389","192.168.56.101","192.168.56.106","TCP","60","2800  >  42752 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"210","1157.712054965","192.168.56.106","192.168.56.101","TCP","58","42752  >  5061 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"211","1157.712215973","192.168.56.101","192.168.56.106","TCP","60","714  >  42752 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"212","1157.712484776","192.168.56.101","192.168.56.106","TCP","60","5061  >  42752 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"213","1157.712581256","192.168.56.106","192.168.56.101","TCP","58","42752  >  1984 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
